인텔® 제품 사양 비교,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/04/05 01:23:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Turbo Boost Max Technology 3.0 Frequency ‡,,,,,,4.70 GHz,4.90 GHz,4.90 GHz,5.00 GHz,5.00 GHz,4.70 GHz,,,,,,,,4.80 GHz,4.40 GHz,4.50 GHz,,,,,,,4.80 GHz,4.80 GHz,4.70 GHz,4.80 GHz,,,,,,,,4.80 GHz,4.70 GHz,4.70 GHz,4.80 GHz,5.40 GHz,5.20 GHz,5.20 GHz,4.90 GHz,5.40 GHz,,,4.90 GHz,5.00 GHz,4.90 GHz,,5.00 GHz,,5.20 GHz,,,,5.30 GHz,5.20 GHz,5.00 GHz,,,,,,,,,5.1 GHz,5.4 GHz,5.4 GHz,5.6 GHz,5.6 GHz,5.2 GHz,5.4 GHz,,,,,,,,,
Configurable TDP-up Frequency,,,,,,,,,,,,,2.00 GHz,,,,,2.30 GHz,,,,2.80 GHz,2.80 GHz,3.00 GHz,2.90 GHz,2.60 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.80 GHz,,,,,,,,2.90 GHz
Configurable TDP-up,,,,,,,,,,,,,25 W,,,,,25 W,,,,28 W,28 W,28 W,28 W,45 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25 W,,,,,,,,25 W
Intel® Thermal Velocity Boost Frequency,,,,,,,,,,,,,,,,,,,5.00 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2 GHz,5.5 GHz,,,,,,,,,,,,,,
Intel® Deep Learning Boost (Intel® DL Boost) on CPU,,,,,,,,,,,,,,,,,,,,,,예,예,예,,,,,,,,,,,,,,,,,,,,,,,,,,예,예,예,,예,예,예,,예,예,예,예,예,,,예,,,,,,Yes,Yes,,,,,,,,,,,,,,
Minimum Assured Frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,1.60 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.80 GHz,,,,,,,1.30 GHz,1.20 GHz,1.3 GHz,1.30 GHz,1.80 GHz,1.2 GHz,1.20 GHz,,,,,,,,,,,,,,,,
Maximum Assured Frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,2.60 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.80 GHz,,,,,,,2.00 GHz,2.70 GHz,2 GHz,2.00 GHz,2.80 GHz,2.7 GHz,2.70 GHz,,,,,,,,,,,,,,,,
# of QPI Links,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
보조 정보,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
상태,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched
출시일,Q4'17,Q2'18,Q1'22,Q1'22,Q1'22,Q1'22,Q1'22,Q1'22,Q4'21,Q4'21,Q1'22,Q2'18,Q3'18,Q2'19,Q2'19,Q2'19,Q2'19,Q3'19,Q2'20,Q2'20,Q2'20,Q3'20,Q3'20,Q3'20,Q2'21,Q3'21,Q1'22,Q2'22,Q1'22,Q1'22,Q1'22,Q1'22,Q1'22,Q1'22,Q1'22,Q1'22,Q1'22,Q1'22,Q2'22,Q3'22,Q2'22,Q3'22,Q4'22,Q1'23,Q1'23,Q1'23,Q4'22,Q3'22,Q3'22,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'24,Q1'24,Q1'24,Q4'23,Q4'23,Q1'24,Q1'24,Q3'15,Q3'15,Q4'15,Q4'15,Q4'15,Q1'17,Q1'17,Q1'17,Q3'16
사용 가능한 임베디드 옵션,예,예,예,예,예,아니요,예,아니요,아니요,아니요,아니요,예,예,예,예,예,예,아니요,아니요,예,예,예,예,아니요,아니요,예,예,아니요,아니요,아니요,아니요,아니요,아니요,아니요,아니요,아니요,아니요,예,아니요,예,아니요,예,아니요,예,아니요,예,아니요,예,예,아니요,아니요,아니요,예,아니요,아니요,아니요,예,아니요,아니요,아니요,아니요,아니요,예,예,예,Yes,예,예,Yes,Yes,No,No,Yes,No,No,Yes,No,예,예,예,예,예,예,예,예,예
데이터시트,지금 보기,지금 보기,,,,지금 보기,지금 보기,지금 보기,지금 보기,지금 보기,지금 보기,지금 보기,,지금 보기,지금 보기,지금 보기,지금 보기,지금 보기,지금 보기,지금 보기,지금 보기,,,지금 보기,지금 보기,,,지금 보기,지금 보기,지금 보기,지금 보기,지금 보기,지금 보기,지금 보기,지금 보기,,,,,,,,지금 보기,지금 보기,지금 보기,지금 보기,지금 보기,,,지금 보기,지금 보기,지금 보기,,지금 보기,지금 보기,지금 보기,,지금 보기,지금 보기,지금 보기,지금 보기,지금 보기,,,,,,,,,,,,,,,,지금 보기,지금 보기,지금 보기,지금 보기,지금 보기,지금 보기,지금 보기,지금 보기,지금 보기
Included Items,,,,,,,,,,,,,Premium PCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thermal Solution - E97379,,,,,,,
Description,,,,,,,,,,,,,,,,,,Refer to datasheet for details on TDP spec and LPDDR support differences.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Functional Safety (FuSa) Documentation Available,,,,,,,,,,,,,,,,,,,,,,,예,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,아니요,,,,,,,아니요,,Yes,예,예,Yes,No,,,,,,,,,,,,,,,,
Servicing Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,ESU Notification Issued,ESU Notification Issued,ESU Notification Issued,
End of Servicing Updates Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday |  September 30 |  2022,Friday |  September 30 |  2022,Friday |  September 30 |  2022,Friday |  September 30 |  2022,Friday |  September 30 |  2022,Sunday |  March 31 |  2024,Sunday |  March 31 |  2024,Sunday |  March 31 |  2024,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
메모리 사양,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
최대 메모리 크기(메모리 유형에 따라 다름),128 GB,128 GB,128 GB,64 GB,128 GB,64 GB,128 GB,128 GB,128 GB,128 GB,128 GB,64 GB,64 GB,128 GB,64 GB,128 GB,64 GB,64 GB,128 GB,128 GB,128 GB,64 GB,64 GB,64 GB,64 GB,128 GB,64 GB,128 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,128 GB,64 GB,128 GB,64 GB,192 GB,192 GB,192 GB,192 GB,192 GB,64 GB,64 GB,192 GB,96 GB,96 GB,128 GB,64 GB,96 GB,96 GB,64 GB,96 GB,96 GB,192 GB,96 GB,192 GB,128 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,192 GB,192 GB,192 GB,192 GB,192 GB,192 GB,192 GB,32 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,32 GB
메모리 유형,DDR4-2666,DDR4-2666,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s Up to LPDDR5 5200 MT/s Up to LPDDR4x 4267 MT/s,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s Up to LPDDR5 5200 MT/s Up to LPDDR4x 4267 MT/s,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s,DDR4-2666 |  LPDDR3-2133,DDR4-2400 |  LPDDR3-2133,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666 |  LPDDR3-2133 |  LPDDR4-2933,DDR4-2933,DDR4-2933,DDR4-2933,DDR4-3200 |  LPDDR4x-4267,DDR4-3200 |  LPDDR4x-4267 |  In-Band ECC,DDR4-3200 |  LPDDR4x-4267,DDR4-3200 |  LPDDR4x-4267,DDR4-3200,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s Up to LPDDR5 5200 MT/s Up to LPDDR4x 4267 MT/s,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s Up to LPDDR5  5200 MT/s Up to LPDDR4x 4267 MT/s,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s Up to LPDDR5 5200 MT/s Up to LPDDR4x 4267 MT/s,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s Up to LPDDR5 5200 MT/s Up to LPDDR4x 4267 MT/s,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s Up to LPDDR5 5200 MT/s Up to LPDDR4x 4267 MT/s,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s Up to LPDDR5 5200 MT/s Up to LPDDR4x 4267 MT/s,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s Up to LPDDR5 5200 MT/s Up to LPDDR4x 4267 MT/s,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s Up to LPDDR5 5200 MT/s Up to LPDDR4x 4267 MT/s,Up to LPDDR5 5200 MT/s Up to LPDDR4x 4267 MT/s,Up to LPDDR5 5200 MT/s Up to LPDDR4x 4267 MT/s,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s Up to LPDDR5 5200 MT/s Up to LPDDR4x 4267 MT/s,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5200 MT/s Up to DDR4 3200 MT/s Up to LPDDR5/x 6400 MT/s Up to LPDDR4x 4267 MT/s,Up to DDR5 5200 MT/s Up to DDR4 3200 MT/s Up to LPDDR5/x 5200 MT/s Up to LPDDR4x 4267 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5200 MT/s Up to DDR4 3200 MT/s Up to LPDDR5/x 6400 MT/s Up to LPDDR4x 4267 MT/s,Up to DDR5 5200 MT/s Up to DDR4 3200 MT/s Up to LPDDR5/x 6400 MT/s Up to LPDDR4x 4267 MT/s,Up to DDR5 5200 MT/s Up to DDR4 3200 MT/s Up to LPDDR5/x 6400 MT/s Up to LPDDR4x 4267 MT/s,Up to DDR5 5200 MT/s Up to DDR4 3200 MT/s Up to LPDDR5/x 6400 MT/s Up to LPDDR4x 4267 MT/s,Up to DDR5 5200 MT/s Up to DDR4 3200 MT/s Up to LPDDR5/x 6400 MT/s Up to LPDDR4x 4267 MT/s,Up to DDR5 5200 MT/s Up to DDR4 3200 MT/s Up to LPDDR5/x 6400 MT/s Up to LPDDR4x 4267 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5200 MT/s Up to DDR4 3200 MT/s Up to LPDDR5/x 6400 MT/s Up to LPDDR4x 4267 MT/s,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5200 MT/s Up to DDR4 3200 MT/s Up to LPDDR5/x 6400 MT/s Up to LPDDR4x 4267 MT/s,Up to DDR5 5200 MT/s Up to DDR4 3200 MT/s Up to LPDDR5/x 6400 MT/s Up to LPDDR4x 4267 MT/s,Up to DDR5 5200 MT/s Up to DDR4 3200 MT/s Up to LPDDR5/x 6400 MT/s Up to LPDDR4x 4267 MT/s,Up to DDR5 5200 MT/s Up to DDR4 3200 MT/s Up to LPDDR5/x 6400 MT/s Up to LPDDR4x 4267 MT/s,Up to DDR5 5200 MT/s Up to DDR4 3200 MT/s Up to LPDDR5/x 6400 MT/s Up to LPDDR4x 4267 MT/s,Up to DDR5 5200 MT/s Up to DDR4 3200 MT/s Up to LPDDR5/x 6400 MT/s Up to LPDDR4x 4267 MT/s,Up to DDR5 5200 MT/s Up to DDR4 3200 MT/s Up to LPDDR5/x 6400 MT/s Up to LPDDR4x 4267 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,DDR4-2133 |  LPDDR3-1866 |  DDR3L-1600,DDR4-1866/2133 |  DDR3L-1333/1600 @ 1.35V,DDR4-1866/2133 |  DDR3L-1333/1600 @ 1.35V,DDR4-2133 |  LPDDR3-1866 |  DDR3L-1600,DDR4-2133 |  LPDDR3-1866 |  DDR3L-1600,DDR4-2133/2400 |  DDR3L-1333/1600 @ 1.35V,DDR4-2400,DDR4-2133/2400 |  DDR3L-1333/1600 @ 1.35V,DDR4-2133 |  LPDDR3-1866 |  DDR3L-1600
최대 메모리 채널 수,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
최대 메모리 대역폭,41.6 GB/s,41.6 GB/s,76.8 GB/s,,76.8 GB/s,,76.8 GB/s,76.8 GB/s,76.8 GB/s,76.8 GB/s,76.8 GB/s,,37.5 GB/s,41.6 GB/s,,41.6 GB/s,,45.8 GB/s,45.8 GB/s,45.8 GB/s,45.8 GB/s,,,,,,,76.8 GB/s,,,,,,,,,,,76.8 GB/s,,76.8 GB/s,,89.6 GB/s,89.6 GB/s,89.6 GB/s,89.6 GB/s,89.6 GB/s,,,76.8 GB/s,,,89.6 GB/s,,,,,,,89.6 GB/s,,76.8 GB/s,89.6 GB/s,,,,,,,,89.6 GB/s,89.6 GB/s,89.6 GB/s,89.6 GB/s,89.6 GB/s,89.6 GB/s,89.6 GB/s,34.1 GB/s,34.1 GB/s,34.1 GB/s,34.1 GB/s,34.1 GB/s,,34.1 GB/s,,34.1 GB/s
ECC 메모리 지원 ‡,아니요,아니요,예,아니요,예,아니요,예,,예,,예,아니요,아니요,아니요,아니요,아니요,아니요,아니요,아니요,아니요,아니요,아니요,예,아니요,아니요,아니요,아니요,아니요,아니요,아니요,아니요,아니요,아니요,아니요,아니요,아니요,아니요,아니요,예,아니요,아니요,아니요,,예,,예,예,아니요,아니요,,아니요,아니요,예,아니요,아니요,아니요,아니요,아니요,아니요,예,아니요,,예,아니요,아니요,Yes,예,예,Yes,Yes,,,Yes,Yes,,Yes,,아니요,아니요,아니요,아니요,아니요,아니요,아니요,아니요,아니요
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPU Specifications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPU 이름 ‡,Intel® UHD Graphics 630,Intel® UHD Graphics 630,Intel® UHD Graphics 770,Intel® Iris® Xe Graphics eligible,Intel® UHD Graphics 770,Intel® Iris® Xe Graphics eligible,Intel® UHD Graphics 770,,Intel® UHD Graphics 770,,Intel® UHD Graphics 770,Intel® UHD Graphics 630,Intel® UHD Graphics 620,Intel® UHD Graphics 630,Intel® UHD Graphics 630,Intel® UHD Graphics 630,Intel® UHD Graphics 630,Intel® UHD Graphics for 10th Gen Intel® Processors,Intel® UHD Graphics for 10th Gen Intel® Processors,Intel® UHD Graphics 630,Intel® UHD Graphics 630,Intel® Iris® Xe Graphics,Intel® Iris® Xe Graphics,Intel® Iris® Xe Graphics,Intel® Iris® Xe Graphics eligible,Intel® UHD Graphics for 11th Gen Intel® Processors,Intel® Iris® Xe Graphics eligible,Intel® UHD Graphics for 12th Gen Intel® Processors,Intel® Iris® Xe Graphics eligible,Intel® UHD Graphics for 12th Gen Intel® Processors,Intel® Iris® Xe Graphics eligible,Intel® Iris® Xe Graphics eligible,Intel® Iris® Xe Graphics eligible,Intel® Iris® Xe Graphics eligible,Intel® Iris® Xe Graphics eligible,Intel® Iris® Xe Graphics eligible,Intel® Iris® Xe Graphics eligible,Intel® Iris® Xe Graphics eligible,Intel® UHD Graphics for 12th Gen Intel® Processors,Intel® Iris® Xe Graphics eligible,Intel® UHD Graphics for 12th Gen Intel® Processors,Intel® Iris® Xe Graphics eligible,,Intel® UHD Graphics 770,,Intel® UHD Graphics 770,Intel® UHD Graphics 770,Intel® Iris® Xe Graphics eligible,Intel® Iris® Xe Graphics eligible,Intel® UHD Graphics for 13th Gen Intel® Processors,Intel® Iris® Xe Graphics eligible,Intel® UHD Graphics for 13th Gen Intel® Processors,Intel® UHD Graphics 770,Intel® Iris® Xe Graphics eligible,Intel® Iris® Xe Graphics eligible,Intel® Iris® Xe Graphics eligible,Intel® Iris® Xe Graphics eligible,Intel® Iris® Xe Graphics eligible,Intel® Iris® Xe Graphics eligible,Intel® UHD Graphics for 13th Gen Intel® Processors,Intel® Iris® Xe Graphics eligible,Intel® UHD Graphics for 13th Gen Intel® Processors,Intel® UHD Graphics 770,Intel® Iris® Xe Graphics eligible,Intel® Iris® Xe Graphics eligible,Intel® Iris® Xe Graphics eligible,Intel® Iris® Xe Graphics eligible,Intel® Iris® Xe Graphics eligible,Intel® Iris® Xe Graphics eligible,Intel® Iris® Xe Graphics eligible,Intel® UHD Graphics for 14th Gen Intel® Processors,Intel® UHD Graphics for 14th Gen Intel® Processors,Intel® UHD Graphics 770,Intel® UHD Graphics 770,,Intel® UHD Graphics 770,,Intel® HD Graphics 520,Intel® HD Graphics 530,Intel® HD Graphics 530,Intel® HD Graphics 530,Intel® HD Graphics 530,Intel® HD Graphics 630,Intel® HD Graphics 630,Intel® HD Graphics 630,Intel® HD Graphics 620
그래픽 기본 주파수,350 MHz,350 MHz,300 MHz,,300 MHz,,300 MHz,,300 MHz,,300 MHz,350 MHz,300 MHz,350 MHz,350 MHz,350 MHz,350 MHz,300 MHz,350 MHz,350 MHz,350 MHz,350 MHz,,,,350 MHz,,,,,,,,,,,,,,,,,,300 MHz,,300 MHz,300 MHz,,,,,,300 MHz,,,,,,,,,,300 MHz,,,,,,,,,,300 MHz,300 MHz,,300 MHz,,300 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,300 MHz
그래픽 최대 동적 주파수,1.20 GHz,1.20 GHz,1.50 GHz,1.35 GHz,1.50 GHz,1.40 GHz,1.50 GHz,,1.50 GHz,,1.50 GHz,1.15 GHz,1.15 GHz,1.15 GHz,1.15 GHz,1.15 GHz,1.15 GHz,1.15 GHz,1.15 GHz,1.15 GHz,1.15 GHz,1.35 GHz,1.35 GHz,1.35 GHz,1.40 GHz,1.35 GHz,1.35 GHz,1.45 GHz,1.40 GHz,1.40 GHz,1.45 GHz,1.40 GHz,1.40 GHz,1.25 GHz,1.25 GHz,950 MHz,950 MHz,1.25 GHz,1.45 GHz,1.40 GHz,1.45 GHz,1.40 GHz,,1.60 GHz,,1.60 GHz,1.60 GHz,1.25 GHz,1.25 GHz,1.55 GHz,1.50 GHz,1.50 GHz,1.60 GHz,1.50 GHz,1.30 GHz,1.50 GHz,1.40 GHz,1.50 GHz,1.30 GHz,1.60 GHz,1.50 GHz,1.55 GHz,1.60 GHz,1.40 GHz,1.30 GHz,1.4 GHz,1.40 GHz,1.40 GHz,1.3 GHz,1.30 GHz,1.6 GHz,1.6 GHz,1.6 GHz,1.6 GHz,,1.6 GHz,,1.05 GHz,1.15 GHz,1.00 GHz,1.00 GHz,1.00 GHz,1.15 GHz,1.00 GHz,1.15 GHz,1.15 GHz
그래픽 비디오 최대 메모리,64 GB,64 GB,,,,,,,,,,64 GB,,128 GB,64 GB,128 GB,64 GB,32 GB,,64 GB,64 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,32 GB
4K 지원,Yes |  at 60Hz,Yes |  at 60Hz,,,,,,,,,,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz
최대 해상도(HDMI)‡,4096 x 2304@24Hz,4096 x 2304@24Hz,4096 x 2160 @ 60Hz,4096 x 2304 @ 60Hz,4096 x 2160 @ 60Hz,4096 x 2304 @ 60Hz,4096 x 2160 @ 60Hz,,4096 x 2160 @ 60Hz,,4096 x 2160 @ 60Hz,4096 x 2304@30Hz,4096 x 2304@24Hz,4096 x 2160@30Hz,4096 x 2160@30Hz,4096 x 2160@30Hz,4096 x 2160@30Hz,4096 x 2304@24Hz,4096 x 2304@30Hz,4096 x 2160@30Hz,4096 x 2160@30Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096 x 2304 @ 60Hz,4096 x 2304 @ 60Hz,4096 x 2304 @ 60Hz,4096 x 2304 @ 60Hz,4096 x 2304 @ 60Hz,4096 x 2304 @ 60Hz,4096 x 2304 @ 60Hz,4096 x 2304 @ 60Hz,4096 x 2304 @ 60Hz,4096 x 2304 @ 60Hz,4096 x 2304 @ 60Hz,4096 x 2304 @ 60Hz,4096 x 2304 @ 60Hz,4096 x 2304 @ 60Hz,4096 x 2304 @ 60Hz,4096 x 2304 @ 60Hz,,4096 x 2160 @ 60Hz,,4096 x 2160 @ 60Hz,4096 x 2160 @ 60Hz,4096 x 2304 @ 60Hz,4096 x 2304 @ 60Hz,4096 x 2160 @ 60Hz,4096 x 2304 @ 60Hz,4096 x 2304 @ 60Hz,4096 x 2160 @ 60Hz,4096 x 2304 @ 60Hz,4096 x 2304 @ 60Hz,4096 x 2304 @ 60Hz,4096 x 2304 @ 60Hz,4096 x 2304 @ 60Hz,4096 x 2304 @ 60Hz,4096 x 2160 @ 60Hz,4096 x 2304 @ 60Hz,4096 x 2160 @ 60Hz,4096 x 2160 @ 60Hz,4096 x 2304 @ 60Hz,4096 x 2304 @ 60Hz,4096 x 2304 @ 60Hz,4096 x 2304 @ 60Hz,4096 x 2304 @ 60Hz,4096 x 2304 @ 60Hz,4096 x 2304 @ 60Hz,4096 x 2160 @ 60Hz,4096 x 2160 @ 60Hz,4096 x 2160 @ 60Hz,4096 x 2160 @ 60Hz,,4096 x 2160 @ 60Hz,,4096x2304@24Hz,4096x2304@24Hz,4096x2304@24Hz,4096x2304@24Hz,4096x2304@24Hz,4096x2304@24Hz,4096x2304@30Hz,4096x2304@24Hz,4096x2304@24Hz
