인텔® 제품 사양 비교,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/04/05 01:34:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max Turbo Frequency,,4.30 GHz,4.00 GHz,4.20 GHz,,4.30 GHz,,3.90 GHz,3.70 GHz,2.90 GHz,3.20 GHz,4.10 GHz,4.60 GHz,4.40 GHz,3.90 GHz,4.30 GHz,3.80 GHz,4.70 GHz,3.90 GHz,4.50 GHz,4.40 GHz,4.00 GHz,4.30 GHz,4.40 GHz,3.80 GHz,3.60 GHz,3.90 GHz,3.90 GHz,4.40 GHz,4.40 GHz,4.40 GHz,4.20 GHz,4.10 GHz,4.40 GHz,4.40 GHz,4.40 GHz,4.40 GHz,,,4.50 GHz,4.50 GHz,4.20 GHz,4.40 GHz,3.80 GHz,3.80 GHz,4.10 GHz,4.50 GHz,4.60 GHz,4.40 GHz,4.50 GHz,4.50 GHz,4.50 GHz,4.50 GHz,4.50 GHz,4.60 GHz,4.50 GHz,4.7 GHz,4.4 GHz,4.7 GHz,,,,,,,,,,
Single P-core Turbo Frequency,,4.30 GHz,4.00 GHz,4.20 GHz,4.30 GHz,4.30 GHz,,,,,,,,,,,,,,,,,,,,,,,,4.40 GHz,4.40 GHz,4.20 GHz,4.10 GHz,4.40 GHz,4.40 GHz,4.40 GHz,4.40 GHz,4.40 GHz,4.20 GHz,4.50 GHz,4.50 GHz,4.20 GHz,4.40 GHz,,,4.10 GHz,4.50 GHz,4.60 GHz,4.40 GHz,4.50 GHz,4.50 GHz,4.50 GHz,4.50 GHz,4.50 GHz,4.60 GHz,4.50 GHz,4.7 GHz,4.4 GHz,4.7 GHz,,,,,,,,,,
P-core Base Frequency,,3.30 GHz,2.10 GHz,3.20 GHz,1.90 GHz,3.30 GHz,,,,,,,,,,,,,,,,,,,,,,,,,3.50 GHz,2.30 GHz,2.20 GHz,,,,,,,3.40 GHz,3.40 GHz,2.50 GHz,,,,2.40 GHz,,,3.30 GHz,,,,,,,,3.5 GHz,2.7 GHz,3.5 GHz,,,,,,,,,,
Total L2 Cache,,5 MB,5 MB,5 MB,,5 MB,,,,,,,,,,,,,,,,,,,,,,,,,5 MB,5 MB,5 MB,,,,,,,5 MB,5 MB,5 MB,,,,5 MB,,,5 MB,,,,,,,,5 MB,5 MB,5 MB,,,,,,,,,,
Processor Base Power,,58 W,35 W,60 W,45 W,60 W,,,,,,,,,,,,,,,,,,,,,,,,45 W,60 W,35 W,35 W,28 W,15 W,15 W,9 W,15 W,28 W,60 W,58 W,35 W,15 W,,,35 W,15 W,45 W,60 W,28 W,15 W,15 W,15 W,28 W,45 W,15 W,60 W,35 W,58 W,,,,,,,,,,
Maximum Turbo Power,,89 W,,,115 W,89 W,,,,,,,,,,,,,,,,,,,,,,,,,89 W,69 W,69 W,64 W,55 W,55 W,29 W,55 W,64 W,110 W,110 W,69 W,,,,,55 W,115 W,,64 W,55 W,55 W,55 W,64 W,115 W,55 W,110 W,69 W,110 W,,,,,,,,,,
Single E-core Turbo Frequency,,,,,3.30 GHz,,,,,,,,,,,,,,,,,,,,,,,,,3.30 GHz,,,,3.30 GHz,3.30 GHz,3.30 GHz,3.30 GHz,3.30 GHz,3.10 GHz,,,,2.50 GHz,,,,3.30 GHz,3.40 GHz,,3.30 GHz,3.30 GHz,3.30 GHz,3.30 GHz,3.30 GHz,3.40 GHz,3.30 GHz,,,,,,,,,,,,,
Minimum Assured Power,,,,,35 W,,,,,,,,,,,,,,,,,,,,,,,,,35 W,,,,20 W,,12 W,,12 W,20 W,,,,12 W,,,,,35 W,,20 W,12 W,12 W,12 W,20 W,35 W,12 W,,,,,,,,,,,,,
Minimum Assured Frequency,,,,,1.10 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.20 GHz,,1.20 GHz,,800 MHz,,1.20 GHz,1.20 GHz,800 MHz,,,,,,,,,,,,,
Maximum Assured Power,,,,,65 W,,,,,,,,,,,,,,,,,,,,,,,,,65 W,,,,,,,,28 W,35 W,,,,28 W,,,,,65 W,,35 W,,28 W,,35 W,65 W,28 W,,,,,,,,,,,,,
