인텔® 제품 사양 비교,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/04/05 01:27:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPU 이름 ‡,Intel® UHD Graphics 630,Intel® UHD Graphics 630,Intel® Iris® Xe Graphics eligible,Intel® UHD Graphics for 12th Gen Intel® Processors,Intel® UHD Graphics 730,,Intel® UHD Graphics 770,,Intel® UHD Graphics 630,Intel® UHD Graphics 620,Intel® UHD Graphics 630,Intel® UHD Graphics 630,Intel® UHD Graphics for 10th Gen Intel® Processors,Intel® UHD Graphics 630,Intel® UHD Graphics 630,Intel® UHD Graphics 630,Intel® UHD Graphics 630,Intel® UHD Graphics 630,,Intel® UHD Graphics 630,Intel® UHD Graphics 630,Intel® UHD Graphics for 10th Gen Intel® Processors,Intel® UHD Graphics 630,Intel® UHD Graphics 630,Intel® Iris® Xe Graphics,Intel® Iris® Xe Graphics,Intel® UHD Graphics for 11th Gen Intel® Processors,Intel® UHD Graphics 730,Intel® Iris® Xe Graphics eligible,Intel® Iris® Xe Graphics eligible,Intel® Iris® Xe Graphics eligible,Intel® Iris® Xe Graphics eligible,Intel® Iris® Xe Graphics eligible,Intel® Iris® Xe Graphics eligible,Intel® Iris® Xe Graphics eligible,Intel® Iris® Xe Graphics eligible,Intel® UHD Graphics for 12th Gen Intel® Processors,Intel® UHD Graphics for 12th Gen Intel® Processors,Intel® Iris® Xe Graphics eligible,Intel® Iris® Xe Graphics eligible,Intel® UHD Graphics 770,,Intel® UHD Graphics 730,,Intel® UHD Graphics 770,Intel® UHD Graphics 770,Intel® UHD Graphics 730,Intel® UHD Graphics 770,Intel® UHD Graphics 770,Intel® Iris® Xe Graphics eligible,Intel® Iris® Xe Graphics eligible,Intel® Iris® Xe Graphics eligible,Intel® Iris® Xe Graphics eligible,Intel® UHD Graphics 770,Intel® Iris® Xe Graphics eligible,Intel® Iris® Xe Graphics eligible,Intel® UHD Graphics for 13th Gen Intel® Processors,Intel® Iris® Xe Graphics eligible,Intel® UHD Graphics 770,Intel® Iris® Xe Graphics eligible,Intel® Iris® Xe Graphics eligible,Intel® Iris® Xe Graphics eligible,Intel® UHD Graphics 730,Intel® Iris® Xe Graphics eligible,Intel® Iris® Xe Graphics eligible,Intel® UHD Graphics for 13th Gen Intel® Processors,Intel® UHD Graphics for 13th Gen Intel® Processors,Intel® Iris® Xe Graphics eligible,Intel® UHD Graphics for 13th Gen Intel® Processors,Intel® Iris® Xe Graphics eligible,Intel® Iris® Xe Graphics eligible,Intel® Iris® Xe Graphics eligible,Intel® Iris® Xe Graphics eligible,Intel® Iris® Xe Graphics eligible,Intel® Iris® Xe Graphics eligible,Intel® UHD Graphics for 14th Gen Intel® Processors,Intel® UHD Graphics for 14th Gen Intel® Processors,,,Intel® UHD Graphics 770,Intel® UHD Graphics 770,Intel® UHD Graphics 770,Intel® UHD Graphics 730,Intel® UHD Graphics 730,Intel® UHD Graphics 770,Intel® UHD Graphics 770,Intel® HD Graphics 530,Intel® HD Graphics 530,Intel® HD Graphics 520,Intel® HD Graphics 530,Intel® HD Graphics 530,Intel® UHD Graphics 770,Intel® Iris® Xe Graphics eligible,Intel® UHD Graphics 770,Intel® UHD Graphics 770,Intel® UHD Graphics 770,Intel® UHD Graphics 770,Intel® UHD Graphics 770,Intel® Iris® Xe Graphics eligible,Intel® Iris® Xe Graphics eligible,Intel® HD Graphics 630,Intel® HD Graphics 630,Intel® HD Graphics 620,Intel® HD Graphics 630,Intel® HD Graphics 630
그래픽 기본 주파수,350 MHz,350 MHz,,,300 MHz,,300 MHz,,350 MHz,300 MHz,350 MHz,350 MHz,300 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,,,350 MHz,300 MHz,,,,,,,,,,,,,300 MHz,,300 MHz,,300 MHz,300 MHz,300 MHz,300 MHz,300 MHz,,,,,300 MHz,,,,,300 MHz,,,,300 MHz,,,,,,,,,,,,,,,,,,300 MHz,,,,300 MHz,300 MHz,350 MHz,350 MHz,300 MHz,350 MHz,350 MHz,300 MHz,,300 MHz,300 MHz,300 MHz,300 MHz,300 MHz,,,350 MHz,350 MHz,300 MHz,350 MHz,350 MHz
그래픽 최대 동적 주파수,1.10 GHz,1.10 GHz,1.30 GHz,1.20 GHz,1.45 GHz,,1.45 GHz,,1.10 GHz,1.05 GHz,1.10 GHz,1.10 GHz,1.10 GHz,1.10 GHz,1.20 GHz,1.15 GHz,1.10 GHz,1.15 GHz,,1.20 GHz,1.20 GHz,1.05 GHz,1.15 GHz,1.15 GHz,1.30 GHz,1.30 GHz,1.35 GHz,1.45 GHz,1.40 GHz,1.20 GHz,1.20 GHz,1.20 GHz,900 MHz,850 MHz,1.30 GHz,1.20 GHz,1.35 GHz,1.30 GHz,1.40 GHz,1.40 GHz,1.50 GHz,,1.55 GHz,,1.55 GHz,1.55 GHz,1.55 GHz,1.55 GHz,1.55 GHz,1.25 GHz,1.20 GHz,1.50 GHz,1.45 GHz,1.55 GHz,1.45 GHz,1.25 GHz,1.45 GHz,1.40 GHz,1.55 GHz,1.25 GHz,1.50 GHz,1.45 GHz,1.55 GHz,1.40 GHz,1.25 GHz,1.50 GHz,1.50 GHz,1.35 GHz,1.40 GHz,1.25 GHz,1.25 GHz,1.45 GHz,1.40 GHz,1.40 GHz,1.25 GHz,1.5 GHz,1.55 GHz,,,1.55 GHz,1.55 GHz,1.55 GHz,1.55 GHz,1.55 GHz,1.55 GHz,1.55 GHz,1.05 GHz,1.00 GHz,1.00 GHz,1.00 GHz,1.00 GHz,1.45 GHz,1.30 GHz,1.45 GHz,1.45 GHz,1.45 GHz,1.45 GHz,1.45 GHz,1.40 GHz,1.30 GHz,1.10 GHz,1.10 GHz,1.10 GHz,1.00 GHz,1.00 GHz
그래픽 비디오 최대 메모리,64 GB,64 GB,,,,,,,64 GB,32 GB,128 GB,128 GB,32 GB,64 GB,64 GB,64 GB,64 GB,64 GB,,64 GB,64 GB,,64 GB,64 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64 GB,64 GB,32 GB,64 GB,64 GB,,,,,,,,,,64 GB,64 GB,32 GB,64 GB,64 GB
4K 지원,Yes |  at 60Hz,Yes |  at 60Hz,,,,,,,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,,,,,,,,,,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz
최대 해상도(HDMI)‡,4096x2304@24Hz,4096x2304@24Hz,4096 x 2304 @ 60Hz,4096 x 2304 @ 60Hz,4096 x 2160 @ 60Hz,,4096 x 2160 @ 60Hz,,4096x2304@30Hz,4096x2304@24Hz,4096 x 2160@30Hz,4096 x 2160@30Hz,4096 x 2304@24Hz,4096 x 2160@30Hz,4096 x 2160@30Hz,4096 x 2160@30Hz,4096 x 2160@30Hz,4096 x 2160@30Hz,,4096 x 2160@30Hz,4096 x 2160@30Hz,4096 x 2304@30Hz,4096 x 2160@30Hz,4096 x 2160@30Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096 x 2160 @ 60Hz,4096 x 2304 @ 60Hz,4096 x 2304 @ 60Hz,4096 x 2304 @ 60Hz,4096 x 2304 @ 60Hz,4096 x 2304 @ 60Hz,4096 x 2304 @ 60Hz,4096 x 2304 @ 60Hz,4096 x 2304 @ 60Hz,4096 x 2304 @ 60Hz,4096 x 2304 @ 60Hz,4096 x 2304 @ 60Hz,4096 x 2304 @ 60Hz,4096 x 2160 @ 60Hz,,4096 x 2160 @ 60Hz,,4096 x 2160 @ 60Hz,4096 x 2160 @ 60Hz,4096 x 2160 @ 60Hz,4096 x 2160 @ 60Hz,4096 x 2160 @ 60Hz,4096 x 2304 @ 60Hz,4096 x 2304 @ 60Hz,4096 x 2304 @ 60Hz,4096 x 2304 @ 60Hz,4096 x 2160 @ 60Hz,4096 x 2304 @ 60Hz,4096 x 2304 @ 60Hz,4096 x 2160 @ 60Hz,4096 x 2304 @ 60Hz,4096 x 2160 @ 60Hz,4096 x 2304 @ 60Hz,4096 x 2304 @ 60Hz,4096 x 2304 @ 60Hz,4096 x 2160 @ 60Hz,4096 x 2304 @ 60Hz,4096 x 2304 @ 60Hz,4096 x 2160 @ 60Hz,4096 x 2160 @ 60Hz,4096 x 2304 @ 60Hz,4096 x 2304 @ 60Hz,4096 x 2304 @ 60Hz,4096 x 2304 @ 60Hz,4096 x 2304 @ 60Hz,4096 x 2304 @ 60Hz,4096 x 2304 @ 60Hz,4096 x 2304 @ 60Hz,4096 x 2160 @ 60Hz,4096 x 2160 @ 60Hz,,,4096 x 2160 @ 60Hz,4096 x 2160 @ 60Hz,4096 x 2160 @ 60Hz,4096 x 2160 @ 60Hz,4096 x 2160 @ 60Hz,4096 x 2160 @ 60Hz,4096 x 2160 @ 60Hz,4096x2304@24Hz,4096x2304@24Hz,4096x2304@24Hz,4096x2304@24Hz,4096x2304@24Hz,4096 x 2160 @ 60Hz,4096 x 2304 @ 60Hz,4096 x 2160 @ 60Hz,4096 x 2160 @ 60Hz,4096 x 2160 @ 60Hz,4096 x 2160 @ 60Hz,4096 x 2160 @ 60Hz,4096 x 2304 @ 60Hz,4096 x 2304 @ 60Hz,4096x2304@24Hz,4096x2304@24Hz,4096x2304@24Hz,4096x2304@30Hz,4096x2304@30Hz
최대 해상도(DP)‡,4096x2304@60Hz,4096x2304@60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,,7680 x 4320 @ 60Hz,,4096x2304@60Hz,4096x2304@60Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,,4096 x 2304@60Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,7680x4320@60Hz,7680x4320@60Hz,7680x4320@60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,,7680 x 4320 @ 60Hz,,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,,,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz
최대 해상도(eDP - 통합 평판),4096x2304@60Hz,4096x2304@60Hz,4096 x 2304 @ 120Hz,4096 x 2304 @ 120Hz,5120 x 3200 @ 120Hz,,5120 x 3200 @ 120Hz,,4096x2304@60Hz,4096x2304@60Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,,4096 x 2304@60Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,5120 x 3200 @ 120Hz,4096 x 2304 @ 120Hz,4096 x 2304 @ 120Hz,4096 x 2304 @ 120Hz,4096 x 2304 @ 120Hz,4096 x 2304 @ 120Hz,4096 x 2304 @ 120Hz,4096 x 2304 @ 120Hz,4096 x 2304 @ 120Hz,5120 x 3200 @ 120Hz,5120 x 3200 @ 120Hz,4096 x 2304 @ 120Hz,4096 x 2304 @ 120Hz,5120 x 3200 @ 120Hz,,5120 x 3200 @ 120Hz,,5120 x 3200 @ 120Hz,5120 x 3200 @ 120Hz,5120 x 3200 @ 120Hz,5120 x 3200 @ 120Hz,5120 x 3200 @ 120Hz,4096 x 2304 @ 120Hz,4096 x 2304 @ 120Hz,4096 x 2304 @ 120Hz,4096 x 2304 @ 120Hz,5120 x 3200 @ 120Hz,4096 x 2304 @ 120Hz,4096 x 2304 @ 120Hz,5120 x 3200 @ 120Hz,4096 x 2304 @ 120Hz,5120 x 3200 @ 120Hz,4096 x 2304 @ 120Hz,4096 x 2304 @ 120Hz,4096 x 2304 @ 120Hz,5120 x 3200 @ 120Hz,4096 x 2304 @ 120Hz,4096 x 2304 @ 120Hz,5120 x 3200 @ 120Hz,5120 x 3200 @ 120Hz,4096 x 2304 @ 120Hz,4096 x 2304 @ 120Hz,4096 x 2304 @ 120Hz,4096 x 2304 @ 120Hz,4096 x 2304 @ 120Hz,4096 x 2304 @ 120Hz,4096 x 2304 @ 120Hz,4096 x 2304 @ 120Hz,5120 x 3200 @ 120Hz,5120 x 3200 @ 120Hz,,,5120 x 3200 @ 120Hz,5120 x 3200 @ 120Hz,5120 x 3200 @ 120Hz,5120 x 3200 @ 120Hz,5120 x 3200 @ 120Hz,5120 x 3200 @ 120Hz,5120 x 3200 @ 120Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,5120 x 3200 @ 120Hz,4096 x 2304 @ 120Hz,5120 x 3200 @ 120Hz,5120 x 3200 @ 120Hz,5120 x 3200 @ 120Hz,5120 x 3200 @ 120Hz,5120 x 3200 @ 120Hz,4096 x 2304 @ 120Hz,4096 x 2304 @ 120Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz
DirectX* 지원,12,12,12.1,12.1,12,,12,,12,12,12,12,12,12,12,12,12,12,,12,12,12,12,12,12.1,12.1,12.1,12,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12,,12,,12,12,12,12,12,12.1,12.1,12.1,12.1,12,12.1,12.1,12.1,12.1,12,12.1,12.1,12.1,12,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,,,12,12,12,12,12,12,12,12,12,12,12,12,12,12.1,12,12,12,12,12,12.1,12.1,12,12,12,12,12
OpenGL* 지원,4.5,4.5,4.6,4.6,4.5,,4.5,,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,,4.5,4.5,4.5,4.5,4.5,4.6,4.6,4.6,4.5,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.5,,4.5,,4.5,4.5,4.5,4.5,4.5,4.6,4.6,4.6,4.6,4.5,4.6,4.6,4.6,4.6,4.5,4.6,4.6,4.6,4.5,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,,,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.6,4.5,4.5,4.5,4.5,4.5,4.6,4.6,4.5,4.5,4.5,4.5,4.5
인텔® 퀵 싱크 비디오,예,예,예,예,예,,예,,예,예,예,예,예,예,예,예,예,예,,예,예,예,예,예,예,예,예,예,예,예,예,예,예,예,예,예,예,예,예,예,예,,예,,예,예,예,예,예,예,예,예,예,예,예,예,예,예,예,예,예,예,예,예,예,예,예,예,예,예,예,예,예,예,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,예,예,예,예,예,예,예,예,예,예,예,예,예,예,예,예,예,예,예
인텔® InTru™ 3D 기술,예,예,,,,,,,예,,예,예,,예,예,예,예,예,,예,예,,예,예,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,예,예,예,예,예,,,,,,,,,,예,예,,예,예
인텔® 클리어 비디오 HD 기술,예,예,,,예,,예,,예,예,예,예,예,예,예,예,예,예,,예,예,,예,예,예,예,,예,,,,,,,,,,,,,예,,예,,예,예,예,예,예,,,,,예,,,,,예,,,,예,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,예,예,예,예,예,예,,예,예,예,예,예,,,예,예,예,예,예
인텔® 클리어 비디오 기술,예,예,,,,,,,예,예,예,예,예,예,예,예,예,예,,예,예,,예,예,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,예,예,예,예,예,,,,,,,,,,예,예,예,예,
지원되는 디스플레이 수 ‡,3,3,4,4,4,,4,,3,3,3,3,3,3,3,3,3,3,,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,4,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,4,4,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,4,4,4,4,3,3,3,3,3
장치 ID,0x3E92,0x3E92,0x46A6,0x46A3,0x4692 / 0x4682,,0x4680,,0x3E9B,0x3EA0,0x3E98,0x3E98,0x9B21/0x9B41/0x9BAC/0x9BCA/0x9BCC,0x9BC8 / 0x9BC5,0x9BC8,0x9BC8,0x9BC8,0x9BC8,,0x9BC8,0x9BC8,0x9BC4,0x9BC8,0x9BC8,0x9A49,0x9A49,0x9A60,0x4692,0x46A6,0x46A8,0x46A8,0x46A8,0x46AA,0x46AA,0x46A6,0x46A8,0x4688,0x468B,0x46A6,0x46A6,0xA780,,0x4682/0xA782,,0xA780,0xA780,0x4682,0x4680,0x4680,0x46A8,0x46A8,0xA7A0,0xA7A0,0x4680,0xA7A0,0xA7A1,0x4688,0xA7A0,0x4680,0xA7A1,0xA7A0,0xA7A0,0xA782,0xA7A0,0xA7A1,0x4688,0x468B,0xA7A0,0xA7A8,0xA7A1,0xA7A1,0xA7A0,0xA7A0,0xA7A0,0xA7A1,0xA78B,0xA78B,,,0x4680,0xA780,0x4680,0x4682/0xA782,0x4682,0xA780,0xA780,0x1912,0x1912,0x1916,0x191B,0x191B,0x4690,0x46A6,0x4690,0x4690,0x4690,0x4690,0x4690,0x46A6,0x46A6,0x5912,0x5912,0x5916,0x591B,0x591B
