Product Name,Specifications
잘만  MegaMax 700W 80PLUS STANDARD,"ATX 파워, 정격출력:700W, 80 PLUS 스탠다드, +12V 싱글레일, +12V 가용률:90%, 액티브PFC, PF(역률):99%, 120mm 팬, 깊이:140mm, 무상 6년, [커넥터], 케이블일체형, 메인전원:24핀(20+4), 보조전원:8+4+4핀 1개, PCIe 8핀(6+2):4개, SATA:6개, IDE 4핀:4개, FDD:1개, [부가기능], 자동 팬 조절, 대기전력 1W 미만, 플랫케이블"
마이크로닉스  Classic II 풀체인지 600W 80PLUS BRONZE 230V EU 화이트,"ATX 파워, 정격출력:600W, 80 PLUS 브론즈, ETA인증:BRONZE, LAMBDA인증:STANDARD+, 전압변동:±0.3%, +12V 싱글레일, +12V 가용률:100%, 액티브PFC, PF(역률):99%, 120mm 팬, 깊이:140mm, 무상 7년, [커넥터], 케이블일체형, 메인전원:24핀(20+4), 보조전원:8+4핀 1개, PCIe 8핀(6+2):2개, SATA:6개, IDE 4핀:4개, [부가기능], 팬리스모드, 자동 팬 조절, 대기전력 1W 미만, 플랫케이블, ※ 80PLUS 인증 등급 상향: 스탠다드→브론즈 / 무상 보증 기한 연장: 6년→7년 / 23년 7월 팬리스 모드 추가"
잘만  GigaMax III 850W 80Plus Bronze 모듈러 ATX3.0 (PCIE5),"ATX 파워, 정격출력:850W, 80 PLUS 브론즈, ETA인증:SILVER, LAMBDA인증:STANDARD++, +12V 싱글레일, 액티브PFC, PF(역률):99%, 120mm 팬, 깊이:140mm, 무상 7년, [커넥터], 세미모듈러, 메인전원:24핀, 보조전원:8+4+4핀 1개, PCIe 16핀(12+4):12VHPWR 1개, PCIe 8핀(6+2):4개, SATA:6개, IDE 4핀:3개, [부가기능], 대기전력 1W 미만, 플랫케이블"
맥스엘리트  MAXWELL COUNT 850W 80PLUS GOLD 풀모듈러 ATX 3.1 (PCIE5),"ATX 파워, 정격출력:850W, 80 PLUS 골드, +12V 싱글레일, +12V 가용률:99%, 액티브PFC, PF(역률):99%, 120mm 팬, 깊이:140mm, 무상 10년, [커넥터], 풀모듈러, 메인전원:24핀(20+4), 보조전원:8핀(4+4) 2개, PCIe 16핀(12+4):12V2x6 1개, PCIe 8핀(6+2):3개, SATA:8개, IDE 4핀:4개, 팬리스모드, 자동 팬 조절, 대기전력 1W 미만, 프리볼트"
CORSAIR  SF750 80 PLUS Platinum,"M-ATX(SFX) 파워, 정격출력:750W, 80 PLUS 플레티넘, +12V 싱글레일, 액티브PFC, 92mm 팬, 깊이:100mm, 무상 7년, [커넥터], 풀모듈러, 메인전원:24핀(20+4), PCIe 8핀(6+2):2개, SATA:4개, IDE 4핀:3개, 프리볼트"
마이크로닉스  Classic II 1050W 80PLUS GOLD 230V EU 풀모듈러,"ATX 파워, 정격출력:1050W, 80 PLUS 골드, 전압변동:±0.1%, +12V 싱글레일, +12V 가용률:100%, 액티브PFC, PF(역률):99%, 120mm 팬, 깊이:140mm, 무상 10년, [커넥터], 풀모듈러, 메인전원:24핀(20+4), 보조전원:8+4+4핀 1개, PCIe 16핀(12+4):12VHPWR 1개, PCIe 8핀(6+2):4개, SATA:10개, IDE 4핀:4개, FDD:1개, [부가기능], 팬리스모드, 자동 팬 조절, 수동 팬 조절, 대기전력 1W 미만, 플랫케이블, 23년 5월 커넥터 CPU 8+4+4 (2개), PCIE 6+2(3개) → CPU 8+4+4 (1개), PCIE 6+2(2개), 12VHPWR 12+4(1개)로 변경 // 23년 12월 커넥터 8+4+4 (1개), PCIE 6+2(4개)로 변경"
NEWZEN  SKULL 850SM MODULAR ATX 3.0 80PLUS GOLD WHITE (PCIE5),"ATX 파워, 정격출력:850W, 80 PLUS 골드, 전압변동:±1%, +12V 싱글레일, +12V 가용률:100%, 액티브PFC, 120mm 팬, 깊이:140mm, 무상 10년, [커넥터], 세미모듈러, 메인전원:24핀(20+4), 보조전원:8핀(4+4) 2개, PCIe 16핀(12+4):12V2x6 1개, PCIe 8핀(6+2):2개, SATA:6개, IDE 4핀:3개, [부가기능], 자동 팬 조절, 프리볼트, 플랫케이블, 24년 1월 PCIe 16핀 12VHPWR 1개 → 12V-2x6 1개로 변경"
마이크로닉스 COOLMAX FOCUS II 500W ETA BRONZE,"ATX 파워, 정격출력:500W, ETA인증:BRONZE, LAMBDA인증:A-, +12V 싱글레일, 액티브PFC, PF(역률):99%, 120mm 팬, 깊이:140mm, 무상 5년, [커넥터], 메인전원:24핀(20+4), 보조전원:8핀(4+4) 1개, PCIe 8핀(6+2):2개, SATA:5개, IDE 4핀:3개, 대기전력 1W 미만, 플랫케이블"
마이크로닉스  Classic II 풀체인지 700W 80PLUS BRONZE ATX 3.1 (PCIE5.1) 화이트,"ATX 파워, 정격출력:700W, 80 PLUS 브론즈, ETA인증:BRONZE, LAMBDA인증:STANDARD, +12V 싱글레일, +12V 가용률:100%, 액티브PFC, PF(역률):99%, 120mm 팬, 깊이:140mm, 무상 7년, [커넥터], 케이블일체형, 메인전원:24핀(20+4), 보조전원:8+4+4핀 1개, PCIe 16핀(12+4):12V2x6 1개, PCIe 8핀(6+2):2개, SATA:6개, IDE 4핀:4개, [부가기능], 팬리스모드, 자동 팬 조절, 대기전력 1W 미만, 플랫케이블"
잘만  EcoMax 700W,"ATX 파워, 정격출력:700W, +12V 싱글레일, +12V 가용률:85%, 120mm 팬, 깊이:140mm, 무상 3년, [커넥터], 메인전원:24핀(20+4), 보조전원:8+4+4핀 1개, PCIe 8핀(6+2):4개, SATA:5개, IDE 4핀:3개, [부가기능], 대기전력 1W 미만"
